test_auc,test_pr,val_auc,n_train,n_test,block,split,feats,num_layers,seed
0.9008031442241968,0.9527456658149012,0.9199141533943296,1427,307,A,random,full,4,0
0.9031670084301663,0.9540359170541735,0.9224750210665703,1427,307,A,random,full,4,1
0.8929977848880138,0.9496897245171649,0.926656738644825,1427,307,A,random,full,4,2
0.8859649122807017,0.943282040045097,0.9051169095221958,1427,307,A,random,no_stereo,4,0
0.9262360446570973,0.9702590066618377,0.9321054532322138,1427,307,A,random,no_stereo,4,1
0.9107802116662564,0.9647080609532978,0.9274013402829486,1427,307,A,random,no_stereo,4,2
0.8827705627705627,0.9449567290040128,0.8036845917074054,1427,265,A,scaffold,full,4,0
0.8476749877630935,0.9631299171145254,0.8944073944073944,1462,272,A,scaffold,full,4,1
0.8122254366227365,0.9292534577086484,0.8837679401657571,1429,234,A,scaffold,full,4,2
0.8721645021645021,0.9507755796493388,0.819980083288068,1427,265,A,scaffold,no_stereo,4,0
0.8497307880567793,0.9594640369117309,0.901836901836902,1462,272,A,scaffold,no_stereo,4,1
0.8805850208936034,0.9594084966124239,0.8859712957347887,1429,234,A,scaffold,no_stereo,4,2
0.8635930735930736,0.9307008945122986,0.8042277747600942,1427,265,B,scaffold,full,2,0
0.848262359275575,0.959896085109734,0.894816894816895,1462,272,B,scaffold,full,2,1
0.868477445623058,0.9480955275275839,0.8863351526177482,1429,234,B,scaffold,full,2,2
0.8422510822510821,0.9262326006244073,0.7915761361578852,1427,265,B,scaffold,full,1,0
0.8240822320117476,0.9547289059059231,0.8907218907218907,1462,272,B,scaffold,full,1,1
0.8443694417657773,0.9414779815031769,0.8669092379219729,1429,234,B,scaffold,full,1,2
